,Unnamed: 0,sms,happy,joke,astonished,angry,bored,heart,filter,tokens
1901,5649,Je croyais te faire plaisir mais voilà Je t'aime,False,False,False,True,False,False,True,"['Je', 'croyais', 'te', 'faire', 'plaisir', 'mais', 'voilà', 'Je', ""t'"", 'aime']"
1902,5653,"Rooooo Ainsi soit-il, je passe mon chemin, bien penaude.",False,False,False,True,False,False,True,"['Rooooo', 'Ainsi', 'soit', '-', 'il', ',', 'je', 'passe', 'mon', 'chemin', ',', 'bien', 'penaude', '.']"
1903,5654,J'aurai aimè mais j'aurai pa encore mes sous,False,False,False,True,False,False,True,"[""J'"", 'aurai', 'aimè', 'mais', ""j'"", 'aurai', 'pa', 'encore', 'mes', 'sous']"
1904,5658,Je savais pas quoi répondre Je t'aime,False,False,False,True,False,False,True,"['Je', 'savais', 'pas', 'quoi', 'répondre', 'Je', ""t'"", 'aime']"
1906,5664,J'ai bien aimer tes petites pensees t'as eu combien o toeic toi?,True,False,False,False,False,False,True,"[""J'"", 'ai', 'bien', 'aimer', 'tes', 'petites', 'pensees', ""t'"", 'as', 'eu', 'combien', 'o', 'toeic', 'toi', '?']"
1907,5670,Bah tu met alors voilà....,False,False,False,False,True,False,True,"['Bah', 'tu', 'met', 'alors', 'voilà', '....']"
1908,5673,Et inspirer.. J'ai fait 875 ste fois ta raison va falloir que jbosse plus le reading aussi,False,True,False,False,False,False,True,"['Et', 'inspirer', '..', ""J'"", 'ai', 'fait', '875', 'ste', 'fois', 'ta', 'raison', 'va', 'falloir', 'que', 'jbosse', 'plus', 'le', 'reading', 'aussi']"
1909,5674,Tu pensai que jrigolai qd jdisai qu'aller en cours d'ang c'etai comme en francais je voi! L'irlande... tinkiete jai pa lmeme nivo en allemand,False,False,False,True,False,False,True,"['Tu', 'pensai', 'que', 'jrigolai', 'qd', 'jdisai', ""qu'"", 'aller', 'en', 'cours', ""d'"", 'ang', ""c'"", 'etai', 'comme', 'en', 'francais', 'je', 'voi', '!', ""L'"", 'irlande', '...', 'tinkiete', 'jai', 'pa', 'lmeme', 'nivo', 'en', 'allemand']"
1910,5677,Trouve un sujet stp Je t'aime,False,False,False,True,False,False,True,"['Trouve', 'un', 'sujet', 'stp', 'Je', ""t'"", 'aime']"
1911,5678,Oui à peu près Mdr' c'est pas de ma faute si Ya pas 50 bus pour rentrée à clermont,True,False,False,False,False,False,True,"['Oui', 'à', 'peu', 'près', ""Mdr'"", ""c'"", 'est', 'pas', 'de', 'ma', 'faute', 'si', 'Ya', 'pas', '50', 'bus', 'pour', 'rentrée', 'à', 'clermont']"
1912,5680,Oui faut kon arrive a se voir,False,True,False,False,False,False,True,"['Oui', 'faut', 'kon', 'arrive', 'a', 'se', 'voir']"
1913,5686,Ouais pas de soucis! Bonne fin d'aprem,False,True,False,False,False,False,True,"['Ouais', 'pas', 'de', 'soucis', '!', 'Bonne', 'fin', ""d'"", 'aprem']"
1915,5692,Ok tant pis,False,False,False,True,False,False,True,"['Ok', 'tant', 'pis']"
1916,5699,"Hihi. J'espère que ça va aller.. moi là jvais rentrer chez mes parents, d'abord je bois un café avec [_forename_] et puis je prends le bus avec [_forename_] ..",False,False,False,True,False,False,True,"['Hihi', '.', ""J'"", 'espère', 'que', 'ça', 'va', 'aller', '..', 'moi', 'là', 'jvais', 'rentrer', 'chez', 'mes', 'parents', ',', ""d'"", 'abord', 'je', 'bois', 'un', 'café', 'avec', '[', '_forename_', ']', 'et', 'puis', 'je', 'prends', 'le', 'bus', 'avec', '[', '_forename_', ']', '..']"
1917,5701,coucou!Semaine infernale...!mem pa l tps 2 t env sms...surbookèe...jé kan mem pensè à toì.espèr ke toi ça va.sui èreintèe...mon pèr opèrè cett nui...c compliquè...v le voir demain.j tm,False,False,False,False,False,True,True,"['coucou', '!', 'Semaine', 'infernale', '...', '!', 'mem', 'pa', 'l', 'tps', '2', 't', 'env', 'sms...surbookèe...jé', 'kan', 'mem', 'pensè', 'à', 'toì.espèr', 'ke', 'toi', 'ça', 'va.sui', 'èreintèe...mon', 'pèr', 'opèrè', 'cett', 'nui...c', 'compliquè...v', 'le', 'voir', 'demain.j', 'tm']"
1918,5702,J'ai plus de batterie [_forename_] .... Je t'envoie un message quand je serais rentrée.. Bisous,False,False,False,False,False,True,True,"[""J'"", 'ai', 'plus', 'de', 'batterie', '[', '_forename_', ']', '....', 'Je', ""t'"", 'envoie', 'un', 'message', 'quand', 'je', 'serais', 'rentrée', '..', 'Bisous']"
1919,5704,"Pareil... Sac à main et donc appareil photo aujd, je trépigne! Bon weekend",True,False,False,False,False,False,True,"['Pareil', '...', 'Sac', 'à', 'main', 'et', 'donc', 'appareil', 'photo', 'aujd', ',', 'je', 'trépigne', '!', 'Bon', 'weekend']"
1920,5705,Arrête d'aller chez [_nickname_],False,True,False,False,False,False,True,"['Arrête', ""d'"", 'aller', 'chez', '[', '_nickname_', ']']"
1921,5706,A mon avis yen a qui ont menti sur leur lettre de motiv,False,True,False,False,False,False,True,"['A', 'mon', 'avis', 'yen', 'a', 'qui', 'ont', 'menti', 'sur', 'leur', 'lettre', 'de', 'motiv']"
1922,5716,D'accord je t ai trouvé d un coup moins Je sais pas comme au phone Je vais à kiabi. Je t'aime,False,False,False,True,False,False,True,"[""D'"", 'accord', 'je', 't', 'ai', 'trouvé', 'd', 'un', 'coup', 'moins', 'Je', 'sais', 'pas', 'comme', 'au', 'phone', 'Je', 'vais', 'à', 'kiabi', '.', 'Je', ""t'"", 'aime']"
1923,5718,[_forename_] est sur Nîmes ce week-end ... Donc c'est mort ... Mes autres cops sont pas dispo,False,False,False,True,False,False,True,"['[', '_forename_', ']', 'est', 'sur', 'Nîmes', 'ce', 'week', '-', 'end', '...', 'Donc', ""c'"", 'est', 'mort', '...', 'Mes', 'autres', 'cops', 'sont', 'pas', 'dispo']"
1924,5719,D'accord . ... Moi l'y vais bientot . Je t'aime,False,False,False,True,False,False,True,"[""D'"", 'accord', '.', '...', 'Moi', ""l'"", 'y', 'vais', 'bientot', '.', 'Je', ""t'"", 'aime']"
1925,5720,Je me suis fait niquée !,False,True,False,False,False,False,True,"['Je', 'me', 'suis', 'fait', 'niquée', '!']"
1926,5721,On etait 10 a se presenter ! et on a du faire un 3eme tour entre [_forename_] et moi parce qu'on arrivait toujours execo...,False,False,True,False,False,False,True,"['On', 'etait', '10', 'a', 'se', 'presenter', '!', 'et', 'on', 'a', 'du', 'faire', 'un', '3', 'eme', 'tour', 'entre', '[', '_forename_', ']', 'et', 'moi', 'parce', ""qu'"", 'on', 'arrivait', 'toujours', 'execo', '...']"
1927,5722,"Ouais c'est ce qui me fait pas bader je m'aurais pris une claque (comme [_forename_] qui etait sur d'elle, et qui a eu...1 voix !)mais la, au moins ca prouve je suis pas trop detestée",True,False,False,False,False,False,True,"['Ouais', ""c'"", 'est', 'ce', 'qui', 'me', 'fait', 'pas', 'bader', 'je', ""m'"", 'aurais', 'pris', 'une', 'claque', '(', 'comme', '[', '_forename_', ']', 'qui', 'etait', 'sur', ""d'"", 'elle', ',', 'et', 'qui', 'a', 'eu...1', 'voix', '!', ')', 'mais', 'la', ',', 'au', 'moins', 'ca', 'prouve', 'je', 'suis', 'pas', 'trop', 'detestée']"
1928,5723,Aujourd'hui c'est l'anniversaire de Marion Cotillard...,True,False,False,False,False,False,True,"[""Aujourd'"", 'hui', ""c'"", 'est', ""l'"", 'anniversaire', 'de', 'Marion', 'Cotillard', '...']"
1929,5724,"Et [_forename_] le bolosse qui tchip tout le temps ! mais parce que la prof a exigé qu'on vote pour une fille ET un garcon sinon le vote comptait nul, donc comme y avait que 2 garcons qui se presentaient ! Donc bon... Ouais [_forename_] a eu 2 voies en realité mais comme elle a voté pour elle, elle a eu qu'une seule voie en realité.",False,False,True,False,False,False,True,"['Et', '[', '_forename_', ']', 'le', 'bolosse', 'qui', 'tchip', 'tout', 'le', 'temps', '!', 'mais', 'parce', 'que', 'la', 'prof', 'a', 'exigé', ""qu'"", 'on', 'vote', 'pour', 'une', 'fille', 'ET', 'un', 'garcon', 'sinon', 'le', 'vote', 'comptait', 'nul', ',', 'donc', 'comme', 'y', 'avait', 'que', '2', 'garcons', 'qui', 'se', 'presentaient', '!', 'Donc', 'bon', '...', 'Ouais', '[', '_forename_', ']', 'a', 'eu', '2', 'voies', 'en', 'realité', 'mais', 'comme', 'elle', 'a', 'voté', 'pour', 'elle', ',', 'elle', 'a', 'eu', ""qu'"", 'une', 'seule', 'voie', 'en', 'realité', '.']"
1930,5725,Est ce que si je bip a agde tu pourra venir me chercher? Jarrive dans genre 50min,False,True,False,False,False,False,True,"['Est', 'ce', 'que', 'si', 'je', 'bip', 'a', 'agde', 'tu', 'pourra', 'venir', 'me', 'chercher', '?', 'Jarrive', 'dans', 'genre', '50', 'min']"
1931,5728,Ouiii,False,False,False,False,False,True,True,['Ouiii']
1933,5733,Non mon coeur je viens juste de rentrée et J'avais plus de batterie mon portable c'est éteint et j'ai croisé mes cousines et tout à la terrasse d'un café alors je suis restée avec eux .... Désolé mon coeur,False,False,False,False,False,True,True,"['Non', 'mon', 'coeur', 'je', 'viens', 'juste', 'de', 'rentrée', 'et', ""J'"", 'avais', 'plus', 'de', 'batterie', 'mon', 'portable', ""c'"", 'est', 'éteint', 'et', ""j'"", 'ai', 'croisé', 'mes', 'cousines', 'et', 'tout', 'à', 'la', 'terrasse', ""d'"", 'un', 'café', 'alors', 'je', 'suis', 'restée', 'avec', 'eux', '....', 'Désolé', 'mon', 'coeur']"
1934,5739,A ouais mais les langues on des des nuls t'as vu ! On a eu la meme note,False,True,False,False,False,False,True,"['A', 'ouais', 'mais', 'les', 'langues', 'on', 'des', 'des', 'nuls', ""t'"", 'as', 'vu', '!', 'On', 'a', 'eu', 'la', 'meme', 'note']"
1935,5740,Nan hier,False,True,False,False,False,False,True,"['Nan', 'hier']"
1936,5742,Bah comme moi mais moi c'est a l'envers lol d'ailleur de connais tjr pas la methode de la dissert !,False,False,True,False,False,False,True,"['Bah', 'comme', 'moi', 'mais', 'moi', ""c'"", 'est', 'a', ""l'"", 'envers', 'lol', ""d'"", 'ailleur', 'de', 'connais', 'tjr', 'pas', 'la', 'methode', 'de', 'la', 'dissert', '!']"
1937,5744,Tu me parle pas,False,False,False,True,False,False,True,"['Tu', 'me', 'parle', 'pas']"
1939,5751,Eh meuf tu savais qu' [_forename_] etait enceinte ?!,False,False,True,False,False,False,True,"['Eh', 'meuf', 'tu', 'savais', ""qu'"", '[', '_forename_', ']', 'etait', 'enceinte', '?', '!']"
1940,5755,"Jt'ai laissé les clés sous l'abri de gauche, où y a presque rien, juste derrière le balai! Enjoy baby et désolée c'est pas trop trop rangé! à dimanche dirty bitch",False,False,False,False,False,True,True,"[""Jt'"", 'ai', 'laissé', 'les', 'clés', 'sous', ""l'"", 'abri', 'de', 'gauche', ',', 'où', 'y', 'a', 'presque', 'rien', ',', 'juste', 'derrière', 'le', 'balai', '!', 'Enjoy', 'baby', 'et', 'désolée', ""c'"", 'est', 'pas', 'trop', 'trop', 'rangé', '!', 'à', 'dimanche', 'dirty', 'bitch']"
1941,5756,Courage plus que 3h à tirer et tu pourras te reposer,False,False,False,False,False,True,True,"['Courage', 'plus', 'que', '3', 'h', 'à', 'tirer', 'et', 'tu', 'pourras', 'te', 'reposer']"
1942,5758,Sa dep la pour le coup c't pas genial!,False,False,False,True,False,False,True,"['Sa', 'dep', 'la', 'pour', 'le', 'coup', ""c'"", 't', 'pas', 'genial', '!']"
1943,5759,Au fait [_forename_] a son 1er patient en libéral! Il va sous-louer un cabinet. Ca me donne encore plus d'espoir pr après,False,True,False,False,False,False,True,"['Au', 'fait', '[', '_forename_', ']', 'a', 'son', '1', 'er', 'patient', 'en', 'libéral', '!', 'Il', 'va', 'sous', '-', 'louer', 'un', 'cabinet', '.', 'Ca', 'me', 'donne', 'encore', 'plus', ""d'"", 'espoir', 'pr', 'après']"
1944,5761,"Alors cet entretien? Ct où? Je te ramène le cours de [_surname_] demain, quant à notre exposé [_forename_] et [_forename_] ne m'ont pas attendue à midi et sont partis donc pas fait le point,mais c pas grave,on gèrera",False,True,False,False,False,False,True,"['Alors', 'cet', 'entretien', '?', 'Ct', 'où', '?', 'Je', 'te', 'ramène', 'le', 'cours', 'de', '[', '_surname_', ']', 'demain', ',', 'quant', 'à', 'notre', 'exposé', '[', '_forename_', ']', 'et', '[', '_forename_', ']', 'ne', ""m'"", 'ont', 'pas', 'attendue', 'à', 'midi', 'et', 'sont', 'partis', 'donc', 'pas', 'fait', 'le', 'point', ',', 'mais', 'c', 'pas', 'grave', ',', 'on', 'gèrera']"
1945,5763,Enfin bref! Ds 15 min jsui a la maison sa va etre la guerre g pa envi de voir mon pere (dont g pas eu de nouvelle pdt 3mois) et encore moins de voir l'autre conne tte heureuse parmis nous!!!!!!!,False,False,True,False,False,False,True,"['Enfin', 'bref', '!', 'Ds', '15', 'min', 'jsui', 'a', 'la', 'maison', 'sa', 'va', 'etre', 'la', 'guerre', 'g', 'pa', 'envi', 'de', 'voir', 'mon', 'pere', '(', 'dont', 'g', 'pas', 'eu', 'de', 'nouvelle', 'pdt', '3', 'mois', ')', 'et', 'encore', 'moins', 'de', 'voir', ""l'"", 'autre', 'conne', 'tte', 'heureuse', 'parmis', 'nous', '!!!!!!!']"
1946,5765,Ca se trouve c'est [_forename_] le pere,True,False,False,False,False,False,True,"['Ca', 'se', 'trouve', ""c'"", 'est', '[', '_forename_', ']', 'le', 'pere']"
1947,5766,Oui elle est in the same classe,False,True,False,False,False,False,True,"['Oui', 'elle', 'est', 'in', 'the', 'same', 'classe']"
1948,5769,Bouchons,False,True,False,False,False,False,True,['Bouchons']
1949,5771,Par contre mon tel bug j'ai pu le num de [_forename_] !,False,False,False,True,False,False,True,"['Par', 'contre', 'mon', 'tel', 'bug', ""j'"", 'ai', 'pu', 'le', 'num', 'de', '[', '_forename_', ']', '!']"
1950,5774,Ah et ma sœur et re-plus avec son amant et elle se casse 1 semaine tte seule en Tunisie ! ...,False,True,False,False,False,False,True,"['Ah', 'et', 'ma', 'sœur', 'et', 're', '-', 'plus', 'avec', 'son', 'amant', 'et', 'elle', 'se', 'casse', '1', 'semaine', 'tte', 'seule', 'en', 'Tunisie', '!', '...']"
1951,5784,Ce soir ... Plus de crédit pendant 1moi.,False,False,False,True,False,False,True,"['Ce', 'soir', '...', 'Plus', 'de', 'crédit', 'pendant', '1', 'moi', '.']"
1952,5786,-I-LOVE-THAT--,False,False,False,False,False,True,True,"['-', 'I', '-', 'LOVE', '-', 'THAT', '--']"
1953,5787,Oui nickel merci. Ce matin colloque sur l'addiction et cet aprem à Palavas avec ma garante pr signer mes belles conventions productive quoi lol,False,True,False,False,False,False,True,"['Oui', 'nickel', 'merci', '.', 'Ce', 'matin', 'colloque', 'sur', ""l'"", 'addiction', 'et', 'cet', 'aprem', 'à', 'Palavas', 'avec', 'ma', 'garante', 'pr', 'signer', 'mes', 'belles', 'conventions', 'productive', 'quoi', 'lol']"
1954,5790,Je l ai imprimé et Je réfléchis . D'accord je t'aime,False,True,False,False,False,False,True,"['Je', 'l', 'ai', 'imprimé', 'et', 'Je', 'réfléchis', '.', ""D'"", 'accord', 'je', ""t'"", 'aime']"
1957,5807,mon étoile (#),False,False,False,False,False,True,True,"['mon', 'étoile', '(', '#', ')']"
1958,5809,t'as bien fait! ... grosses biz.,False,True,False,False,False,False,True,"[""t'"", 'as', 'bien', 'fait', '!', '...', 'grosses', 'biz', '.']"
1959,5810,"Jsuis chez moi oui oui, je connais, du coup t'y es là ou pas? ça va là? oh vous avez trouvé quoi comme appart'?",True,False,False,False,False,False,True,"['Jsuis', 'chez', 'moi', 'oui', 'oui', ',', 'je', 'connais', ',', 'du', 'coup', ""t'"", 'y', 'es', 'là', 'ou', 'pas', '?', 'ça', 'va', 'là', '?', 'oh', 'vous', 'avez', 'trouvé', 'quoi', 'comme', ""appart'"", '?']"
1960,5812,Ok ... Bisous bonne nuit,False,False,False,False,False,True,True,"['Ok', '...', 'Bisous', 'bonne', 'nuit']"
1961,5814,ça va pas ma ptite [_forename_] ? Pas de tes nouvelles,False,False,False,True,False,False,True,"['ça', 'va', 'pas', 'ma', 'ptite', '[', '_forename_', ']', '?', 'Pas', 'de', 'tes', 'nouvelles']"
1962,5815,"Ouais, et je suppose que le parcours compte aussi nan ?",False,True,False,False,False,False,True,"['Ouais', ',', 'et', 'je', 'suppose', 'que', 'le', 'parcours', 'compte', 'aussi', 'nan', '?']"
1963,5816,Jai pas regardé enfin ca disait quoi ?,False,True,False,False,False,False,True,"['Jai', 'pas', 'regardé', 'enfin', 'ca', 'disait', 'quoi', '?']"
1964,5817,"Demain je dois me lever a 6h. Un samedi. Pour aller en cours. Fuck la life, je vais me jeter de la fenetre de ma chambre",False,True,False,False,False,False,True,"['Demain', 'je', 'dois', 'me', 'lever', 'a', '6', 'h', '.', 'Un', 'samedi', '.', 'Pour', 'aller', 'en', 'cours', '.', 'Fuck', 'la', 'life', ',', 'je', 'vais', 'me', 'jeter', 'de', 'la', 'fenetre', 'de', 'ma', 'chambre']"
1965,5818,"Ouais, ben perso la je suis inscrit a la fac de lettres et de droit",False,True,False,False,False,False,True,"['Ouais', ',', 'ben', 'perso', 'la', 'je', 'suis', 'inscrit', 'a', 'la', 'fac', 'de', 'lettres', 'et', 'de', 'droit']"
1966,5820,Oui super bien excellente petite journée et toi ? Pas trop chiant ?,True,False,False,False,False,False,True,"['Oui', 'super', 'bien', 'excellente', 'petite', 'journée', 'et', 'toi', '?', 'Pas', 'trop', 'chiant', '?']"
1969,5826,Ok ok! Bah amuse toi bien moi je me fait chier ça me va l'heure demain et demain soir on ira à quelle heure chez [_forename_] ?,False,False,False,True,False,False,True,"['Ok', 'ok', '!', 'Bah', 'amuse', 'toi', 'bien', 'moi', 'je', 'me', 'fait', 'chier', 'ça', 'me', 'va', ""l'"", 'heure', 'demain', 'et', 'demain', 'soir', 'on', 'ira', 'à', 'quelle', 'heure', 'chez', '[', '_forename_', ']', '?']"
1970,5827,j'avais compris euh 8h ou 9h je sais plus... mais ça dépend à quelle heure tu veux être rentrée...,False,True,False,False,False,False,True,"[""j'"", 'avais', 'compris', 'euh', '8', 'h', 'ou', '9', 'h', 'je', 'sais', 'plus', '...', 'mais', 'ça', 'dépend', 'à', 'quelle', 'heure', 'tu', 'veux', 'être', 'rentrée', '...']"
1971,5828,C'est le prix a payer pour avoir Internet je suppose,False,True,False,False,False,False,True,"[""C'"", 'est', 'le', 'prix', 'a', 'payer', 'pour', 'avoir', 'Internet', 'je', 'suppose']"
1972,5829,"&moi Je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, Je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime,Je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, Je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime,",False,False,False,False,False,True,True,"['&', 'moi', 'Je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'Je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'Je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'Je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',', 'je', ""t'"", 'aime', ',']"
1973,5830,Il suffit de pas mettre son vrai nom dessus,True,False,False,False,False,False,True,"['Il', 'suffit', 'de', 'pas', 'mettre', 'son', 'vrai', 'nom', 'dessus']"
1975,5834,Tu crois tout ce qu'on te dit heinn . Bon allez j'ai envie de te voir,False,False,False,False,False,True,True,"['Tu', 'crois', 'tout', 'ce', ""qu'"", 'on', 'te', 'dit', 'heinn', '.', 'Bon', 'allez', ""j'"", 'ai', 'envie', 'de', 'te', 'voir']"
1978,5845,"a oui pas cool du tout ça et il n'y a pas des bus, qui peuvent t ammener plus tard?",False,False,False,True,False,False,True,"['a', 'oui', 'pas', 'cool', 'du', 'tout', 'ça', 'et', 'il', ""n'"", 'y', 'a', 'pas', 'des', 'bus', ',', 'qui', 'peuvent', 't', 'ammener', 'plus', 'tard', '?']"
1979,5846,A oui quand meme mon pauvre [_forename_] ...du coup tu vas faire quoi pendant tout ce temps?,False,False,False,True,False,False,True,"['A', 'oui', 'quand', 'meme', 'mon', 'pauvre', '[', '_forename_', ']', '...', 'du', 'coup', 'tu', 'vas', 'faire', 'quoi', 'pendant', 'tout', 'ce', 'temps', '?']"
1980,5847,Ohhhh mais noooon je suis dégouté ( j'étais persuadé qu'on partirais ensemble pfouuu c'est trop nul ...,False,False,False,True,False,False,True,"['Ohhhh', 'mais', 'noooon', 'je', 'suis', 'dégouté', '(', ""j'"", 'étais', 'persuadé', ""qu'"", 'on', 'partirais', 'ensemble', 'pfouuu', ""c'"", 'est', 'trop', 'nul', '...']"
1982,5851,"Mais mes parents veulent qu'on en ""discute"" car ils disent que va pas être facil si j'y vais ... D'un côté ils ont pas tord mais j'ai tellement envie de vous revoir que même si c'est pour m'ennuier pendant une semaine... Je VEUX venir !",False,False,False,True,False,False,True,"['Mais', 'mes', 'parents', 'veulent', ""qu'"", 'on', 'en', '""', 'discute', '""', 'car', 'ils', 'disent', 'que', 'va', 'pas', 'être', 'facil', 'si', ""j'"", 'y', 'vais', '...', ""D'"", 'un', 'côté', 'ils', 'ont', 'pas', 'tord', 'mais', ""j'"", 'ai', 'tellement', 'envie', 'de', 'vous', 'revoir', 'que', 'même', 'si', ""c'"", 'est', 'pour', ""m'"", 'ennuier', 'pendant', 'une', 'semaine', '...', 'Je', 'VEUX', 'venir', '!']"
1985,5865,"Hihi ""moi je t'aime gros comme ça !""",False,True,False,False,False,False,True,"['Hihi', '""', 'moi', 'je', ""t'"", 'aime', 'gros', 'comme', 'ça', '!', '""']"
1986,5866,Oui je sais j'avais compris !,False,True,False,False,False,False,True,"['Oui', 'je', 'sais', ""j'"", 'avais', 'compris', '!']"
1987,5868,Serieux 0_0 ?! A oui la c'est vraiment pas cool putain une journée en cours pour rien,False,False,False,True,False,False,True,"['Serieux', '0', '_0', '?', '!', 'A', 'oui', 'la', ""c'"", 'est', 'vraiment', 'pas', 'cool', 'putain', 'une', 'journée', 'en', 'cours', 'pour', 'rien']"
1990,5874,Ouais j'avoue,False,True,False,False,False,False,True,"['Ouais', ""j'"", 'avoue']"
1991,5882,moi nn plus!,False,True,False,False,False,False,True,"['moi', 'nn', 'plus', '!']"
1993,5886,"A ok bon je passerais quand meme. Tu sais a quelle heure le,prof a cours?",False,False,False,True,False,False,True,"['A', 'ok', 'bon', 'je', 'passerais', 'quand', 'meme', '.', 'Tu', 'sais', 'a', 'quelle', 'heure', 'le', ',', 'prof', 'a', 'cours', '?']"
1996,5892,Arg a oui ça ça fait mal...tres tres mal je compati,False,False,False,True,False,False,True,"['Arg', 'a', 'oui', 'ça', 'ça', 'fait', 'mal...tres', 'tres', 'mal', 'je', 'compati']"
1997,5897,"A ba si c'est pour avoir [_forename_] et [_forename_] dans mon lit, je suis 100% pour la polygamie tu sais tres bien que je deteste avoir a faire des,choix",False,True,False,False,False,False,True,"['A', 'ba', 'si', ""c'"", 'est', 'pour', 'avoir', '[', '_forename_', ']', 'et', '[', '_forename_', ']', 'dans', 'mon', 'lit', ',', 'je', 'suis', '100', '%', 'pour', 'la', 'polygamie', 'tu', 'sais', 'tres', 'bien', 'que', 'je', 'deteste', 'avoir', 'a', 'faire', 'des', ',', 'choix']"
2003,5913,Hé hé,False,True,False,False,False,False,True,"['Hé', 'hé']"
2004,5915,"D'accord et non amour Tqt pas. Stp, . Et tu dois dormir Je t'aime",False,False,False,True,False,False,True,"[""D'"", 'accord', 'et', 'non', 'amour', 'Tqt', 'pas', '.', 'Stp', ',', '.', 'Et', 'tu', 'dois', 'dormir', 'Je', ""t'"", 'aime']"
2005,5916,Si ...,False,False,False,True,False,False,True,"['Si', '...']"
2006,5918,D'accord . A demain . Et c'est vrai ça que Je m aime pas . Et ça m rend pas heureuse. A demain mon coeur. Je t'aime fort.,False,False,False,True,False,False,True,"[""D'"", 'accord', '.', 'A', 'demain', '.', 'Et', ""c'"", 'est', 'vrai', 'ça', 'que', 'Je', 'm', 'aime', 'pas', '.', 'Et', 'ça', 'm', 'rend', 'pas', 'heureuse', '.', 'A', 'demain', 'mon', 'coeur', '.', 'Je', ""t'"", 'aime', 'fort', '.']"
2007,5922,"Ok, bon bin bonne nuit mon étoile (#)",False,False,False,False,False,True,True,"['Ok', ',', 'bon', 'bin', 'bonne', 'nuit', 'mon', 'étoile', '(', '#', ')']"
2008,5925,Bonne nuit,False,False,False,False,False,True,True,"['Bonne', 'nuit']"
2009,5926,Je te trouve pas beau avec ta barbe pour le moment. Je t'aime .,False,False,False,True,False,False,True,"['Je', 'te', 'trouve', 'pas', 'beau', 'avec', 'ta', 'barbe', 'pour', 'le', 'moment', '.', 'Je', ""t'"", 'aime', '.']"
2010,5927,A demain j'ai trop mal. Je t'aime fort mon amour,False,False,False,False,False,True,True,"['A', 'demain', ""j'"", 'ai', 'trop', 'mal', '.', 'Je', ""t'"", 'aime', 'fort', 'mon', 'amour']"
2011,5928,Au dos . Et au coeur Psk jte dis des truc pas bien et que j accepte pas des truc pourri. Je t'aime à demain mon amou,False,False,False,False,False,True,True,"['Au', 'dos', '.', 'Et', 'au', 'coeur', 'Psk', 'jte', 'dis', 'des', 'truc', 'pas', 'bien', 'et', 'que', 'j', 'accepte', 'pas', 'des', 'truc', 'pourri', '.', 'Je', ""t'"", 'aime', 'à', 'demain', 'mon', 'amou']"
